MESA,Departamento,Municipio,Circuito,ESTADO
124 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
125 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
126,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
127,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
128,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
129,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
130,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
131,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
132,241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
133,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
134,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
135,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
136,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
137,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
138,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
139,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
140,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
141,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
142,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
143,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
144,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
145,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
146,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
147,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
148,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
149,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
150,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
151,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
152,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
153,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
154,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
155,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
156,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
157,241 -- CAPITAL,1 -- CAPITAL,4 -- CAPITAL,
158,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
159,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
160,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
161,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
162,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
163,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
164,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
165,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
166,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
167,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
168,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
169,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
170,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
171,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
172,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
173,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
174,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
175,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
176,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
177,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
178,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
179,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
180,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
181,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
182,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
183,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
184,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
185,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
186,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
187,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
188,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
189,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
190,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
191,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
192,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
193,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
194,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
195,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
196,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
197,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
198,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
199,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
200,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
201,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
202,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
203,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
204,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
205,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
206,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
207,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
208,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
209,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,
210,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
211,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
212,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
213,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
214,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
215,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
216,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
217,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
218,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
219,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
220,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
221,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
222,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
223,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
224,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
225,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
226,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
227,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
228,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
229,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
230,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
231,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
232,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
233,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
234,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
235,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
236,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
237,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
238,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
239,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
240,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
241,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
242,241 -- CAPITAL,1 -- CAPITAL,5A -- CAPITAL,
