,mesa,Departamento,Municipio,Circuito,bue,1 - Movimiento Integracion y Desarrollo (1) 1.Intendente/Vice,1 - Movimiento Integracion y Desarrollo (1) 2.Concejales,2 - Justicialista (2) 1.Intendente/Vice,2 - Justicialista (2) 2.Concejales,3 - Union Civica Radical (3) 1.Intendente/Vice,3 - Union Civica Radical (3) 2.Concejales,4 - Movimiento Siempre Corrientes (4) 1.Intendente/Vice,4 - Movimiento Siempre Corrientes (4) 2.Concejales,5 - Democrata Cristiano (5) 1.Intendente/Vice,5 - Democrata Cristiano (5) 2.Concejales,6 - Es Posible (6) 1.Intendente/Vice,6 - Es Posible (6) 2.Concejales,7 - de la Concertacion Forja (7) 1.Intendente/Vice,7 - de la Concertacion Forja (7) 2.Concejales,8 - Federal (8) 1.Intendente/Vice,8 - Federal (8) 2.Concejales,9 - Democrata Progresista (9) 1.Intendente/Vice,9 - Democrata Progresista (9) 2.Concejales,10 - Renovador Federal (10) 1.Intendente/Vice,10 - Renovador Federal (10) 2.Concejales,11 - Ladrilleros Unidos (CAPITAL) (11) 1.Intendente/Vice,11 - Ladrilleros Unidos (CAPITAL) (11) 2.Concejales,12 - Accion por Corrientes (14) 1.Intendente/Vice,12 - Accion por Corrientes (14) 2.Concejales,13 - Unidos por Corrientes (15) 1.Intendente/Vice,13 - Unidos por Corrientes (15) 2.Concejales,14 - Laborista Autonomo (17) 1.Intendente/Vice,14 - Laborista Autonomo (17) 2.Concejales,15 - ELI - Encuentro Liberal (18) 1.Intendente/Vice,15 - ELI - Encuentro Liberal (18) 2.Concejales,16 - Cambio Popular (19) 1.Intendente/Vice,16 - Cambio Popular (19) 2.Concejales,17 - Union del Centro Democratico (20) 1.Intendente/Vice,17 - Union del Centro Democratico (20) 2.Concejales,18 - Convocatoria Popular (21) 1.Intendente/Vice,18 - Convocatoria Popular (21) 2.Concejales,19 - FE (23) 1.Intendente/Vice,19 - FE (23) 2.Concejales,20 - Union Popular (25) 1.Intendente/Vice,20 - Union Popular (25) 2.Concejales,21 - Conservador Popular (31) 1.Intendente/Vice,21 - Conservador Popular (31) 2.Concejales,22 - Accion Popular de los Trabajadores (34) 1.Intendente/Vice,22 - Accion Popular de los Trabajadores (34) 2.Concejales,23 - Accion por la Republica (44) 1.Intendente/Vice,23 - Accion por la Republica (44) 2.Concejales,24 - Afirmacion para una Republica Igualitaria ARI  (47) 1.Intendente/Vice,24 - Afirmacion para una Republica Igualitaria ARI  (47) 2.Concejales,25 - Partido Socialista (50) 1.Intendente/Vice,25 - Partido Socialista (50) 2.Concejales,26 - Autonomista (52) 1.Intendente/Vice,26 - Autonomista (52) 2.Concejales,27 - de la Victoria (54) 1.Intendente/Vice,27 - de la Victoria (54) 2.Concejales,28 - Proyecto Corrientes (57) 1.Intendente/Vice,28 - Proyecto Corrientes (57) 2.Concejales,29 - PRO - Propuesta Republicana (64) 1.Intendente/Vice,29 - PRO - Propuesta Republicana (64) 2.Concejales,30 - Nueva Dirigencia Corrientes (67) 1.Intendente/Vice,30 - Nueva Dirigencia Corrientes (67) 2.Concejales,31 - Instrumento Electoral por la Unidad Popular (72) 1.Intendente/Vice,31 - Instrumento Electoral por la Unidad Popular (72) 2.Concejales,32 - Nuevo (90) 1.Intendente/Vice,32 - Nuevo (90) 2.Concejales,33 - Popular (169) 1.Intendente/Vice,33 - Popular (169) 2.Concejales,34 - Crecer con Todos (170) 1.Intendente/Vice,34 - Crecer con Todos (170) 2.Concejales,35 - Union Celeste y Blanco (173) 1.Intendente/Vice,35 - Union Celeste y Blanco (173) 2.Concejales,36 - Compromiso Correntino (175) 1.Intendente/Vice,36 - Compromiso Correntino (175) 2.Concejales,37 - KOLINA (192) 1.Intendente/Vice,37 - KOLINA (192) 2.Concejales,VOTOS en Blanco 1.Intendente/Vice,VOTOS en Blanco 2.Concejales,VOTOS Nulos 1.Intendente/Vice,VOTOS Nulos 2.Concejales,VOTOS  Recurridos 1.Intendente/Vice,VOTOS  Recurridos 2.Concejales,VOTOS de Identidad Impugnada 1.Intendente/Vice,VOTOS de Identidad Impugnada 2.Concejales,Total Votos Válidos 1.Intendente/Vice,Total Votos Válidos 2.Concejales,Votos Generales 1.Intendente/Vice,Votos Generales 2.Concejales,Frente Para la Victoria (201) 1.Alianzas Intendente/Vice,Encuentro por Corrientes-ECO+Cambiemos (203) 1.Alianzas Intendente/Vice,Haciendo Corrientes (205) 1.Alianzas Intendente/Vice,Ciudadanos Comprometidos (200) 2.Alianzas Concejales,Frente Para la Victoria (201) 2.Alianzas Concejales,Encuentro por Corrientes-ECO+Cambiemos (204) 2.Alianzas Concejales,Haciendo Corrientes (205) 2.Alianzas Concejales,voto_cruzado,voto_cruzado_revisado
402,403,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,22,19,50,48,51,50,14,10,13,12,8,7,9,9,5,5,4,5,0,0,5,5,2,3,1,2,1,1,11,12,1,1,0,0,5,5,8,4,5,5,0,/////,3,3,5,6,10,11,0,0,0,1,2,2,5,5,0,0,3,3,0,0,4,5,9,9,2,2,4,4,2,2,2,2,3,3,7,2,1,1,0,/////,266,258,277,264,7,137,122,12,7,97,113,12.0,5.0
403,404,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,22,19,46,44,43,35,7,7,0,0,6,6,7,7,5,6,1,1,7,8,3,2,3,3,3,3,3,3,9,9,3,3,0,0,4,4,0,1,4,4,0,/////,4,4,1,1,5,5,0,4,6,6,7,7,0,0,5,5,9,9,0,2,9,11,10,10,4,3,5,5,2,2,5,5,1,1,11,11,0,0,0,/////,248,244,260,256,9,124,115,9,9,87,111,13.0,2.0
404,405,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,29,29,43,40,41,37,6,6,7,6,3,3,5,4,2,1,0,1,4,4,3,3,4,5,2,2,0,0,10,9,2,2,3,3,8,8,2,2,3,3,31,/////,0,1,3,3,9,9,0,0,5,5,1,1,3,3,5,5,2,2,0,0,4,4,9,9,2,2,3,3,2,2,4,4,5,5,7,8,9,9,0,/////,260,221,281,243,12,139,109,6,12,84,104,22.5,19.5
405,406,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,25,25,38,38,44,40,9,9,11,11,5,5,7,7,3,3,1,2,5,6,5,5,3,3,0,1,1,1,15,13,5,5,8,8,5,5,2,2,7,9,2,/////,3,3,0,1,5,4,0,0,8,7,7,6,2,2,7,6,4,4,0,0,3,2,4,4,4,4,4,3,3,4,2,2,0,7,8,8,4,4,0,/////,257,250,269,269,7,123,127,14,7,84,126,10.5,3.5
406,407,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,9,9,43,40,16,15,2,2,6,6,0,0,3,3,0,0,0,1,3,3,2,2,0,0,8,8,2,2,13,12,5,5,10,8,4,4,3,3,6,7,1,/////,4,4,6,7,0,0,0,1,11,12,31,29,0,0,2,1,6,7,0,1,10,9,5,4,15,15,3,3,3,3,7,7,4,10,13,13,15,15,0,/////,239,233,271,271,11,89,139,14,11,62,131,10.0,5.0
407,408,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,21,21,41,39,24,24,18,17,2,2,5,5,6,5,5,5,2,2,0,1,4,4,2,2,7,7,4,4,9,11,0,0,12,11,13,15,4,4,11,11,0,/////,4,4,10,10,6,6,0,0,3,3,3,3,3,3,2,2,2,2,0,0,8,8,17,16,9,9,8,8,3,3,0,0,14,18,11,11,3,3,0,/////,268,267,296,299,13,131,124,19,15,82,120,5.5,3.5
408,409,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,18,16,54,53,45,34,16,16,9,8,8,8,9,9,2,2,2,2,7,6,1,1,9,8,12,11,1,1,14,14,1,1,12,11,1,1,3,3,6,7,3,/////,3,3,5,5,2,2,0,7,7,8,2,2,0,0,0,0,1,1,0,3,0,0,5,5,2,2,4,4,3,4,3,5,7,0,6,0,0,0,0,/////,270,263,283,263,4,135,131,13,6,79,125,18.5,5.5
409,410,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,4,4,21,20,27,16,2,2,0,0,1,0,1,1,1,1,1,1,12,11,4,3,3,3,4,4,2,2,11,11,3,2,1,1,1,3,3,4,9,9,0,/////,5,6,6,6,11,12,0,2,7,8,0,0,4,4,4,4,4,4,0,8,10,11,16,16,41,40,17,17,8,9,0,2,3,3,11,11,0,0,0,/////,244,247,258,261,1,144,99,19,5,96,95,18.5,5.5
410,411,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,6,6,40,37,42,40,7,7,19,17,19,19,14,14,1,2,3,3,8,8,5,5,1,1,1,1,2,2,10,11,0,0,4,4,1,1,8,9,12,12,2,/////,1,2,3,3,4,4,0,0,2,2,10,10,1,1,1,1,2,2,0,0,7,7,8,8,6,6,1,1,3,3,3,2,3,0,11,0,1,0,0,/////,257,251,272,251,4,127,126,23,3,71,121,7.0,3.0
411,412,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,18,18,39,37,30,23,3,3,5,5,2,2,4,4,3,2,2,1,3,3,2,2,2,2,3,3,2,2,7,7,1,1,4,4,6,7,3,3,6,6,1,/////,5,5,9,8,5,6,0,5,5,5,10,10,5,4,4,5,4,4,0,2,4,3,15,15,19,19,17,17,10,10,4,4,3,3,12,0,0,0,0,/////,262,257,277,260,10,140,112,14,11,89,109,12.5,3.5
412,413,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,35,32,54,52,79,63,15,14,7,5,6,5,6,6,6,6,3,3,5,5,3,3,5,5,4,4,2,2,5,6,1,1,1,1,2,2,3,3,3,3,0,/////,2,2,1,1,4,5,0,1,0,1,5,3,0,0,2,2,0,0,0,10,5,7,4,4,7,8,1,1,2,2,3,3,2,9,6,9,0,0,0,/////,281,271,289,289,5,132,144,8,5,86,137,22.0,5.0
413,414,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,13,9,22,20,42,36,16,16,4,4,3,3,14,13,1,1,10,9,6,6,19,18,2,2,4,4,2,2,6,6,5,5,13,14,3,3,5,5,1,1,1,/////,1,1,1,1,6,6,0,2,11,12,7,5,3,3,2,2,0,0,0,1,4,4,13,13,9,9,7,8,5,5,4,6,1,7,4,5,1,1,0,/////,265,255,271,268,7,126,132,7,9,90,123,13.0,7.0
414,415,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,10,9,22,22,34,27,6,5,9,9,6,6,5,5,3,4,0,0,7,7,4,4,2,2,5,6,1,1,5,6,3,3,5,6,0,0,11,10,7,7,4,/////,5,4,6,6,12,10,0,1,8,8,6,6,4,4,3,3,1,1,0,7,12,10,5,6,17,17,6,6,2,2,17,15,10,18,8,8,0,0,0,/////,253,245,271,271,17,130,106,21,15,77,103,17.0,4.0
415,416,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,7,7,49,42,33,26,21,16,4,4,13,11,14,13,8,10,6,5,5,5,3,3,4,6,4,3,3,4,6,3,2,1,8,6,6,5,2,2,3,4,1,/////,1,1,4,5,11,13,0,0,6,10,4,3,0,0,3,3,1,1,0,3,2,2,5,5,4,4,4,3,0,0,5,5,3,8,15,17,0,0,0,/////,252,234,270,259,11,118,123,7,10,67,106,25.0,9.0
416,417,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,14,10,41,41,24,16,2,2,3,3,0,0,2,2,3,3,4,4,3,3,7,7,5,4,3,2,0,0,7,8,0,0,10,10,1,2,0,0,2,5,7,/////,0,0,16,17,7,11,0,5,3,3,5,5,0,0,6,6,3,3,0,3,10,10,21,22,27,23,10,9,6,6,4,4,5,5,10,10,1,1,1,/////,256,249,273,266,5,127,124,5,6,80,116,22.5,4.5
417,418,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,3,2,22,21,20,16,7,7,4,2,7,7,10,10,1,1,1,1,10,10,31,32,4,4,2,2,4,4,12,14,2,2,4,4,7,8,2,2,2,2,1,/////,7,9,5,4,5,6,0,3,4,4,14,13,2,2,9,9,1,1,0,0,8,8,15,15,3,3,10,10,15,14,2,3,2,3,9,9,0,0,0,/////,256,255,267,267,9,129,118,13,11,79,114,11.5,3.5
418,419,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,21,19,39,39,42,39,11,11,6,6,2,2,7,6,5,5,0,0,4,4,21,20,5,5,5,6,1,1,15,15,1,1,8,7,1,1,4,4,2,3,0,/////,2,2,4,4,3,3,0,3,10,10,3,3,1,1,4,4,1,1,0,0,6,7,9,9,5,5,2,2,3,2,4,6,4,4,8,8,4,4,0,/////,257,256,273,272,5,120,132,9,7,90,128,8.5,3.5
419,420,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,11,12,32,31,32,20,10,9,2,2,3,3,1,1,2,2,7,7,10,7,12,13,3,3,3,3,10,10,16,16,5,5,8,8,3,3,14,13,6,6,3,/////,1,1,4,4,3,3,0,10,7,7,5,5,2,2,2,2,2,2,0,3,13,13,4,4,11,10,6,7,0,0,5,4,1,1,5,5,2,2,1,/////,258,251,267,260,8,130,120,20,7,66,116,19.5,3.5
420,421,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,4,3,31,29,28,27,3,3,9,9,4,4,11,11,5,5,3,3,5,5,1,1,8,9,6,6,1,1,17,17,4,4,1,2,0,0,1,1,3,3,4,/////,8,8,1,2,8,8,0,8,4,5,14,14,7,8,2,4,3,3,0,0,6,6,5,5,7,8,5,5,2,2,13,11,3,3,13,13,0,0,0,/////,234,240,250,256,13,125,96,12,11,88,95,13.0,6.0
421,422,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,12,12,48,46,21,20,7,6,9,7,7,6,4,4,9,12,1,1,11,10,9,9,3,3,3,5,3,3,8,8,2,2,20,7,6,6,1,1,9,8,0,/////,2,2,3,3,10,9,0,0,4,4,8,8,1,1,10,9,1,1,0,1,3,6,2,2,2,3,7,6,2,2,3,3,2,5,13,13,0,0,0,/////,251,236,266,254,9,107,135,11,9,65,120,17.5,7.5
422,423,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,8,8,20,19,34,24,18,17,2,2,11,10,3,3,2,1,7,6,5,5,22,20,4,4,9,9,3,2,22,23,0,0,13,13,0,0,11,11,9,9,2,/////,1,1,1,2,2,4,0,3,9,9,7,7,1,1,2,2,2,2,0,7,7,7,6,6,3,3,3,3,6,6,5,5,3,3,2,1,3,3,0,/////,260,254,268,261,5,147,108,21,5,83,104,17.0,3.0
423,424,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,2,2,79,77,37,29,11,11,4,4,1,1,0,0,2,2,4,4,3,3,7,7,2,2,2,2,3,2,8,8,1,1,2,2,4,4,2,2,2,2,1,/////,3,3,10,9,8,8,0,5,5,5,2,1,2,2,4,4,0,0,0,3,9,9,12,12,12,12,7,7,3,3,3,3,2,8,9,10,0,0,0,/////,257,251,268,269,7,118,132,7,7,77,129,11.0,3.0
424,425,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,3,3,60,59,29,13,4,4,0,0,1,1,7,7,3,2,7,7,2,2,2,2,1,1,3,3,0,0,9,9,2,2,26,27,1,1,5,5,1,1,4,/////,3,3,4,4,12,12,0,7,5,6,10,10,1,1,1,1,2,2,0,7,6,7,12,13,16,16,1,1,3,3,8,8,0,0,0,0,0,0,0,/////,254,250,254,250,9,107,138,9,9,61,139,20.0,3.0
425,426,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,11,11,53,51,42,28,0,0,9,9,0,0,6,6,2,2,0,0,7,9,2,1,4,4,1,1,2,3,16,17,8,8,8,6,2,2,4,5,2,2,3,/////,0,0,1,1,25,25,0,3,7,7,13,12,1,2,2,3,2,2,0,9,13,13,3,3,4,4,4,4,2,2,1,1,10,0,3,0,6,0,0,/////,260,256,279,256,3,123,134,7,3,92,130,21.0,2.0
426,427,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,18,14,33,28,34,34,4,4,7,6,0,0,4,4,7,7,6,7,9,9,3,3,2,2,2,2,6,7,19,16,3,3,6,6,8,10,5,5,4,5,1,/////,1,2,1,1,7,6,0,0,10,15,5,4,6,6,4,4,2,1,0,0,5,5,5,4,5,5,2,2,7,6,2,3,3,0,10,0,0,0,0,/////,243,236,256,236,10,131,102,12,13,90,91,15.5,7.5
427,428,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,17,17,45,42,38,31,4,4,9,9,6,7,2,2,2,2,6,6,3,4,3,3,7,8,3,3,9,9,12,12,1,0,5,4,3,3,4,4,3,3,1,/////,3,5,4,4,8,8,0,1,3,4,5,4,1,1,2,4,3,3,0,4,7,8,4,3,12,12,4,4,2,2,3,3,6,6,5,5,0,0,5,/////,244,243,260,259,6,125,113,12,6,73,109,14.5,3.5
428,429,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,11,11,26,24,25,17,33,31,0,0,0,0,4,4,4,4,2,2,5,5,10,10,0,0,4,4,6,6,13,13,11,11,1,1,1,3,4,5,3,3,2,/////,4,4,2,3,6,6,0,3,9,10,3,3,3,3,8,8,6,6,0,5,14,13,3,3,18,18,3,3,7,7,9,8,4,7,12,12,0,0,0,/////,260,257,276,276,10,114,136,12,11,73,131,14.5,3.5
429,430,241 -- CAPITAL,1 -- CAPITAL,5B -- CAPITAL,0,23,20,28,26,36,25,7,6,6,6,6,6,5,4,9,10,3,3,4,4,4,4,1,1,2,2,0,0,4,4,0,0,3,3,1,1,1,1,1,2,0,/////,2,1,4,4,12,12,0,2,4,6,2,2,4,4,2,2,1,1,0,7,2,3,7,8,5,5,4,4,2,2,5,5,0,0,8,8,0,0,0,/////,200,196,208,204,6,105,89,4,6,68,83,17.0,4.0
430,431,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,26,24,42,38,32,22,8,7,3,3,0,0,9,8,6,6,0,0,7,4,10,10,2,2,2,2,3,2,15,15,4,4,14,14,7,7,13,13,3,4,0,/////,11,13,2,2,2,3,0,10,1,1,2,3,0,0,3,3,1,1,0,0,1,1,4,4,3,3,4,4,4,4,2,2,4,4,16,16,0,0,0,/////,246,239,266,259,9,108,129,30,9,55,119,18.5,6.5
431,432,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,29,29,42,40,32,32,5,5,24,24,7,7,6,6,1,1,6,6,3,3,5,5,1,0,5,5,4,4,9,9,2,2,6,6,7,7,6,6,3,3,2,/////,5,5,1,1,1,1,0,1,7,7,2,2,0,0,2,2,3,3,0,0,14,14,3,2,2,1,1,1,2,2,3,4,5,10,6,6,0,0,0,/////,251,246,262,262,10,101,140,14,11,62,137,4.5,3.5
432,433,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,4,4,51,49,22,22,0,0,14,14,5,5,2,2,2,2,1,1,10,9,17,16,1,1,2,2,2,3,9,9,4,4,28,27,1,1,6,7,9,9,2,/////,9,8,0,0,1,1,0,4,4,4,2,2,2,2,9,9,5,6,0,8,2,2,8,9,4,3,3,3,3,3,9,9,1,1,6,6,2,2,1,/////,253,260,263,270,10,105,138,24,10,67,132,12.5,9.5
433,434,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,19,18,22,21,31,26,1,1,6,6,3,3,12,13,3,3,9,9,9,9,14,13,5,5,1,1,1,1,4,4,3,3,13,12,0,0,5,4,7,6,0,/////,7,7,12,12,5,5,0,0,4,5,3,4,12,12,3,3,0,0,0,4,7,7,7,5,3,3,8,6,12,12,8,8,2,0,6,0,0,0,0,/////,259,251,267,251,8,139,112,17,8,67,110,11.0,4.0
434,435,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,8,8,49,47,44,37,7,7,21,21,3,3,7,6,3,3,3,2,3,3,18,16,6,7,2,2,1,1,10,10,4,4,12,11,4,4,7,7,3,3,1,/////,3,3,1,1,8,8,0,4,2,3,1,1,2,2,2,2,2,2,0,3,8,8,11,12,7,7,3,3,0,0,2,2,2,2,5,5,1,1,0,/////,268,263,276,271,6,117,145,13,6,81,139,12.5,3.5
435,436,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,27,26,57,54,53,49,9,9,0,0,2,1,14,14,3,4,1,1,11,10,8,7,4,4,1,1,0,0,3,3,9,8,6,5,10,10,3,3,1,1,0,/////,3,3,1,0,1,1,0,1,5,4,1,0,4,4,1,1,2,2,0,2,1,2,3,3,5,4,6,6,1,1,4,4,2,2,8,8,0,0,0,/////,260,248,270,258,14,98,148,7,14,74,139,11.0,6.0
436,437,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,2,2,34,34,34,26,1,1,2,2,0,0,5,5,0,0,3,3,6,6,18,18,1,1,3,3,11,11,12,12,6,5,26,24,0,0,2,2,2,2,4,/////,7,7,2,3,1,1,0,3,6,7,11,11,4,4,2,2,0,0,0,3,8,6,6,6,9,9,8,8,2,2,12,12,0,0,3,3,4,4,0,/////,250,241,257,248,12,110,128,11,12,69,123,12.5,4.5
437,438,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,4,4,23,23,27,20,4,4,13,13,2,2,5,5,2,2,0,0,27,24,9,9,9,11,10,10,6,6,9,8,7,7,17,18,9,9,1,1,4,4,0,/////,4,4,1,1,3,3,0,6,4,4,8,7,4,3,10,10,0,1,0,1,5,5,16,16,5,4,4,4,1,1,2,2,3,3,9,9,3,3,0,/////,255,252,270,267,11,117,127,9,11,79,123,12.5,2.5
438,439,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,12,12,41,41,53,27,2,2,4,4,1,1,3,3,1,1,0,0,10,10,8,7,2,2,1,1,0,0,5,5,8,8,4,4,3,3,3,3,4,4,1,/////,6,6,2,4,1,1,0,18,3,4,8,8,1,1,2,2,0,0,0,5,9,9,18,17,28,28,14,14,4,4,3,3,1,0,7,0,1,0,0,/////,265,262,274,262,6,122,137,13,6,72,136,27.5,1.5
439,440,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,4,4,44,42,24,24,15,15,12,11,1,1,14,14,8,8,2,2,3,3,7,7,10,10,1,1,4,5,12,12,0,0,1,1,1,1,2,2,6,6,1,/////,6,6,3,3,4,4,0,1,2,2,4,4,1,1,1,1,2,2,0,0,4,5,12,13,8,8,12,12,2,2,6,5,3,3,18,18,0,0,0,/////,239,238,260,259,7,116,116,14,6,72,114,4.5,2.5
440,441,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,18,17,32,31,44,39,16,17,21,21,3,3,28,28,4,4,3,4,8,9,6,5,3,2,2,2,1,1,7,9,5,4,6,6,3,3,8,8,2,3,2,/////,2,2,1,0,1,1,0,3,5,4,0,0,2,2,1,1,0,0,0,1,3,3,3,3,1,1,1,1,1,1,1,1,5,9,17,17,0,0,0,/////,244,240,266,266,4,96,144,13,4,62,142,12.0,2.0
441,442,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,20,20,41,38,33,16,18,17,3,3,9,8,4,4,1,1,5,5,7,6,13,12,13,13,5,4,6,7,10,10,6,5,5,5,2,2,3,4,5,5,2,/////,5,5,5,5,5,6,0,12,0,1,5,5,1,1,0,1,4,5,0,3,4,4,4,4,8,8,0,0,2,2,8,8,5,9,5,7,1,1,0,/////,262,255,273,272,10,118,134,14,10,48,127,24.5,3.5
442,443,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,6,6,28,23,18,18,3,3,1,1,3,3,17,11,4,4,1,1,6,7,8,8,2,2,4,4,3,4,2,2,2,2,5,5,7,7,3,3,4,4,0,/////,8,8,1,1,2,2,0,2,3,3,24,23,2,2,1,1,3,3,0,4,8,8,21,18,44,43,10,9,9,9,2,2,6,6,10,10,3,3,0,/////,265,256,284,275,9,104,152,15,9,62,140,12.5,7.5
443,444,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,32,32,41,39,51,45,10,9,9,9,11,11,6,6,4,4,1,2,9,9,6,6,1,1,11,10,5,6,6,5,2,2,6,5,5,6,4,5,4,4,0,/////,0,0,1,2,2,3,0,5,0,0,3,3,1,1,2,2,1,1,0,0,4,4,4,4,5,5,3,4,2,2,4,4,7,7,13,13,0,0,0,/////,256,256,276,276,9,114,133,9,10,75,129,12.0,4.0
444,445,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,7,7,33,32,48,40,19,17,21,20,10,9,6,6,1,1,1,2,12,11,5,4,3,3,4,4,2,2,12,12,3,3,8,8,3,4,7,6,4,3,2,/////,7,7,6,5,5,5,0,6,2,2,0,0,2,2,1,1,2,2,0,3,8,8,2,2,5,5,5,5,0,0,7,7,5,5,19,19,1,1,0,/////,263,254,288,279,10,126,127,16,11,75,121,15.5,5.5
445,446,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,16,16,71,70,44,43,20,19,20,17,8,8,4,4,2,1,1,1,6,5,5,5,5,6,1,1,4,7,8,8,1,1,7,7,1,1,0,1,6,6,0,/////,4,4,3,3,6,6,0,1,1,1,2,2,1,1,6,6,0,0,0,1,2,2,8,8,1,1,0,0,0,0,6,5,4,5,9,10,0,0,0,/////,270,268,283,283,7,108,155,11,6,74,149,8.0,6.0
446,447,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,47,46,23,23,60,60,5,5,13,13,1,1,5,5,5,5,0,0,1,1,4,4,13,13,3,3,5,6,9,9,11,12,4,4,1,1,3,3,3,4,3,/////,4,3,1,1,5,5,0,0,5,5,6,6,1,1,1,1,1,1,0,0,8,8,2,2,14,14,2,2,3,3,4,4,2,2,9,9,0,0,0,/////,276,274,287,285,5,130,141,10,5,89,141,4.0,1.0
447,448,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,6,6,77,77,52,47,12,12,9,8,3,2,8,8,10,10,3,3,6,6,1,1,3,3,3,3,8,8,6,6,2,2,1,1,2,2,6,6,8,8,1,/////,3,3,1,1,2,2,0,2,2,2,0,0,0,0,2,2,4,4,0,2,4,4,3,3,3,3,4,4,0,0,2,2,2,2,11,11,1,1,0,/////,257,253,271,267,4,124,129,17,4,73,128,6.0,2.0
448,449,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,4,4,40,37,21,21,3,3,8,8,3,2,23,22,9,9,7,7,9,9,15,15,8,7,2,2,11,11,6,5,6,4,10,10,5,5,2,3,9,10,4,/////,4,4,2,3,2,2,0,1,3,4,12,11,2,2,2,2,3,3,0,0,4,5,4,4,12,12,4,4,0,0,4,6,3,0,4,0,0,0,0,/////,263,257,270,257,9,108,146,17,11,49,140,11.0,5.0
449,450,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,16,15,30,29,33,32,16,16,13,12,2,3,5,5,1,1,1,1,7,5,30,28,8,10,3,5,1,1,21,19,4,4,5,6,1,1,0,0,1,1,2,/////,6,6,4,4,4,4,0,1,3,4,7,7,1,1,4,4,0,0,0,0,5,4,6,6,10,10,8,7,0,0,5,5,10,16,9,9,0,0,0,/////,263,257,282,282,6,109,148,7,6,82,141,11.0,4.0
450,451,241 -- CAPITAL,1 -- CAPITAL,5C -- CAPITAL,0,29,26,48,46,42,31,6,5,23,23,1,1,2,2,3,3,3,3,2,2,1,1,8,9,4,4,4,5,10,10,5,5,5,5,6,6,3,3,2,2,2,/////,5,6,2,3,2,2,0,5,1,2,5,5,1,1,0,0,3,3,0,6,4,4,10,10,1,1,2,2,0,0,3,3,6,11,13,11,1,1,0,/////,248,245,268,268,9,108,131,11,9,65,125,17.5,4.5
