mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,G33,G41,G60,G71,G179,G180,G191,G652,G653,G654,blanco,nulos,recur,impug,validos,totales
449,19A,1,RESISTENCIA,0,1,1,4,4,5,22,3,0,3,66,58,2,12,0,0,0,167,179
450,19A,1,RESISTENCIA,0,1,1,5,4,6,29,5,2,5,81,53,4,10,0,0,1,194,205
451,19A,1,RESISTENCIA,0,1,1,5,6,4,26,1,2,4,74,60,1,10,1,0,0,183,194
452,19A,1,RESISTENCIA,0,1,1,3,6,5,22,3,1,1,79,59,2,11,1,0,0,181,193
453,19A,1,RESISTENCIA,0,1,1,4,3,1,28,4,0,1,72,68,1,12,0,0,0,182,194
454,19A,1,RESISTENCIA,0,1,1,3,12,3,18,2,5,5,55,68,2,3,3,0,0,173,179
455,19A,1,RESISTENCIA,0,1,1,5,4,2,9,2,0,0,38,43,0,5,0,0,0,103,108
1492,19A,1,RESISTENCIA,1,1,1,2,1,1,14,3,3,2,101,69,2,6,1,0,0,198,205
1493,19A,1,RESISTENCIA,1,1,1,2,4,1,13,0,2,4,78,74,0,16,2,0,0,178,196
1494,19A,1,RESISTENCIA,1,1,1,8,3,0,22,2,2,4,71,77,4,5,1,0,0,193,199
1495,19A,1,RESISTENCIA,1,1,1,3,2,0,15,2,1,2,84,75,3,3,0,0,0,187,190
1496,19A,1,RESISTENCIA,1,1,1,2,3,0,7,5,1,3,89,64,1,11,0,0,0,175,186
1497,19A,1,RESISTENCIA,1,1,1,7,1,1,10,2,5,6,78,83,1,2,0,0,0,194,196
1498,19A,1,RESISTENCIA,1,1,1,2,3,4,20,2,2,1,77,58,2,6,0,0,0,171,177
1499,19A,1,RESISTENCIA,1,1,1,1,4,1,19,2,0,2,83,69,5,12,0,0,0,186,198
1500,19A,1,RESISTENCIA,1,1,1,2,6,2,26,2,1,1,70,84,4,6,0,0,0,198,204
1501,19A,1,RESISTENCIA,1,1,1,5,12,0,20,0,2,2,85,78,3,6,0,0,0,207,213
1502,19A,1,RESISTENCIA,1,1,1,4,10,5,13,3,1,9,68,77,3,8,0,0,0,193,201
1503,19A,1,RESISTENCIA,1,1,1,0,4,0,11,2,0,3,62,60,3,2,0,0,0,145,147
456,19B,1,RESISTENCIA,0,0,1,2,14,7,27,3,1,2,74,49,4,7,6,0,0,183,196
457,19B,1,RESISTENCIA,0,0,1,2,13,1,22,2,3,0,89,46,5,0,0,0,0,183,183
458,19B,1,RESISTENCIA,0,0,1,1,13,3,15,0,2,3,59,82,6,3,1,0,0,184,188
459,19B,1,RESISTENCIA,0,0,1,1,9,2,19,1,5,4,60,72,2,6,4,0,0,175,185
460,19B,1,RESISTENCIA,0,0,1,3,6,4,20,3,0,0,67,54,9,1,4,0,0,166,171
461,19B,1,RESISTENCIA,0,0,1,4,8,3,20,1,1,2,69,68,4,1,9,0,0,180,190
462,19B,1,RESISTENCIA,0,0,1,9,11,2,18,3,3,2,62,67,5,3,7,0,0,182,192
463,19B,1,RESISTENCIA,0,0,1,2,3,3,25,0,2,7,68,64,7,8,3,0,0,181,192
464,19B,1,RESISTENCIA,0,0,1,0,10,2,12,1,5,3,77,52,8,5,4,0,0,170,179
465,19B,1,RESISTENCIA,0,0,1,4,9,1,27,0,3,1,57,58,8,1,2,0,0,168,171
466,19B,1,RESISTENCIA,0,0,1,3,9,0,26,2,1,7,70,59,5,3,5,0,0,182,190
1504,19B,1,RESISTENCIA,1,0,1,1,16,3,14,5,3,1,75,60,6,3,5,0,0,184,192
1505,19B,1,RESISTENCIA,1,0,1,3,4,1,20,2,3,1,69,91,2,2,8,0,0,196,206
1506,19B,1,RESISTENCIA,1,0,1,2,8,5,14,2,3,3,82,68,14,4,5,0,0,201,210
1507,19B,1,RESISTENCIA,1,0,1,6,10,0,19,2,1,5,69,89,4,2,4,0,0,205,211
1508,19B,1,RESISTENCIA,1,0,1,3,7,2,12,1,0,3,90,85,3,6,0,0,0,206,212
1509,19B,1,RESISTENCIA,1,0,1,3,15,2,14,1,0,2,82,81,8,2,9,0,0,208,219
1510,19B,1,RESISTENCIA,1,0,1,3,6,3,13,2,3,3,108,77,7,5,5,0,0,225,235
1511,19B,1,RESISTENCIA,1,0,1,4,9,0,18,1,2,4,93,69,4,1,5,0,0,204,210
1512,19B,1,RESISTENCIA,1,0,1,4,14,1,15,1,0,3,72,61,3,2,5,0,0,174,181
1513,19B,1,RESISTENCIA,1,0,1,4,14,1,19,2,0,82,66,5,0,2,3,0,0,193,198
1514,19B,1,RESISTENCIA,1,0,1,8,13,0,14,8,0,3,93,95,7,3,6,0,0,241,250
9,2,1,RESISTENCIA,0,1,1,4,5,0,17,0,2,7,38,113,2,6,0,0,4,188,198
10,2,1,RESISTENCIA,0,1,1,7,6,0,20,5,1,4,33,102,0,6,0,0,0,178,184
11,2,1,RESISTENCIA,0,1,1,3,2,2,15,0,1,6,25,126,3,6,0,0,0,183,189
12,2,1,RESISTENCIA,0,1,1,4,9,0,18,1,1,7,41,104,0,7,0,0,0,185,192
13,2,1,RESISTENCIA,0,1,1,4,7,3,16,3,1,3,37,112,3,6,0,0,0,189,195
14,2,1,RESISTENCIA,0,1,1,5,6,0,25,2,3,6,48,122,1,8,0,0,0,218,226
15,2,1,RESISTENCIA,0,1,1,3,3,0,19,1,1,2,32,144,3,9,0,0,0,208,217
1011,2,1,RESISTENCIA,1,1,1,0,8,0,15,3,5,5,41,115,2,6,0,0,0,194,200
1012,2,1,RESISTENCIA,1,1,1,3,5,0,19,3,0,4,25,115,3,4,0,0,0,177,181
1013,2,1,RESISTENCIA,1,1,1,5,6,1,13,0,1,5,22,134,3,5,0,0,0,190,195
1014,2,1,RESISTENCIA,1,1,1,2,4,0,12,1,1,2,33,121,1,9,1,0,0,177,187
1015,2,1,RESISTENCIA,1,1,1,5,10,0,7,3,0,4,30,122,2,2,0,0,0,183,185
1016,2,1,RESISTENCIA,1,1,1,1,2,0,16,2,1,3,36,121,2,3,1,0,0,184,188
1017,2,1,RESISTENCIA,1,1,1,4,7,1,18,3,2,8,40,137,3,6,0,0,0,223,229
1018,2,1,RESISTENCIA,1,1,1,6,11,0,17,2,2,5,27,137,0,5,0,0,0,207,212
467,20,1,RESISTENCIA,0,0,1,5,14,2,21,3,1,2,52,72,5,4,6,0,0,177,187
468,20,1,RESISTENCIA,0,0,1,8,7,5,19,3,1,10,57,104,3,2,2,0,0,217,221
1515,20,1,RESISTENCIA,1,0,1,6,11,3,15,4,5,2,64,132,3,1,10,0,0,245,256
1516,20,1,RESISTENCIA,1,0,1,10,10,3,21,1,0,7,76,111,2,3,5,0,0,241,249
469,21,1,RESISTENCIA,0,0,1,0,3,2,20,2,3,7,83,46,5,0,0,0,0,171,171
470,21,1,RESISTENCIA,0,0,1,4,4,1,23,2,2,4,84,47,10,5,0,0,0,181,186
471,21,1,RESISTENCIA,0,0,1,2,10,5,14,3,2,2,83,48,4,2,4,0,0,173,179
472,21,1,RESISTENCIA,0,0,1,4,8,1,27,2,7,1,85,45,9,7,2,0,0,189,198
473,21,1,RESISTENCIA,0,0,1,2,6,5,17,1,1,2,88,42,8,4,6,0,0,172,182
474,21,1,RESISTENCIA,0,0,1,2,5,2,32,6,1,4,82,49,4,3,4,0,0,187,194
475,21,1,RESISTENCIA,0,0,1,4,4,3,19,3,1,0,85,39,9,4,2,0,0,167,173
476,21,1,RESISTENCIA,0,0,1,3,11,2,17,1,4,5,90,48,3,6,7,0,0,184,197
477,21,1,RESISTENCIA,0,0,1,4,8,8,19,3,0,6,86,47,3,0,0,0,0,184,184
478,21,1,RESISTENCIA,0,0,1,4,4,1,19,3,0,1,79,49,13,0,0,0,0,173,173
479,21,1,RESISTENCIA,0,0,1,2,5,1,18,2,1,4,89,44,11,4,1,0,0,177,182
480,21,1,RESISTENCIA,0,0,1,5,4,4,21,6,2,3,102,51,12,4,6,0,0,210,220
481,21,1,RESISTENCIA,0,0,1,4,4,1,19,2,2,1,103,55,17,0,11,0,0,208,219
1517,21,1,RESISTENCIA,1,0,1,3,12,1,15,3,1,1,100,43,10,5,4,0,0,189,198
1518,21,1,RESISTENCIA,1,0,1,3,6,0,21,2,1,1,86,61,9,1,2,0,0,190,193
1519,21,1,RESISTENCIA,1,0,1,0,6,1,15,4,3,3,106,46,11,4,7,0,0,195,206
1520,21,1,RESISTENCIA,1,0,1,5,5,0,16,1,0,3,91,65,8,3,1,0,0,194,198
1521,21,1,RESISTENCIA,1,0,1,2,3,2,17,3,1,1,103,56,9,3,3,0,0,197,203
1522,21,1,RESISTENCIA,1,0,1,2,3,0,22,4,2,2,88,73,9,0,0,0,0,205,205
1523,21,1,RESISTENCIA,1,0,1,3,5,0,15,2,0,0,100,61,13,2,3,0,0,199,204
1524,21,1,RESISTENCIA,1,0,1,5,6,5,14,3,1,1,89,62,4,1,8,0,0,190,199
1525,21,1,RESISTENCIA,1,0,1,6,4,0,7,1,3,4,103,47,6,7,5,0,0,181,193
1526,21,1,RESISTENCIA,1,0,1,3,4,2,16,0,2,3,102,56,9,0,2,0,0,197,199
1527,21,1,RESISTENCIA,1,0,1,5,3,4,16,1,1,2,102,75,8,1,2,0,0,217,220
1528,21,1,RESISTENCIA,1,0,1,1,4,1,21,4,2,1,98,64,5,1,4,0,0,201,206
1529,21,1,RESISTENCIA,1,0,1,4,8,2,14,2,0,2,113,70,13,2,5,0,0,228,235
1530,21,1,RESISTENCIA,1,0,1,2,6,6,13,2,2,5,123,66,4,4,3,1,0,229,237
530,24,1,RESISTENCIA,0,0,1,1,0,0,4,2,0,1,76,96,2,3,1,0,0,182,186
1579,24,1,RESISTENCIA,1,0,1,0,0,0,4,0,1,3,69,70,3,0,1,0,0,150,151
531,25,1,RESISTENCIA,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,7,7
1580,25,1,RESISTENCIA,1,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,7,7
541,27,1,RESISTENCIA,0,0,1,1,3,5,8,3,0,2,43,21,9,0,2,0,0,95,97
1588,27,1,RESISTENCIA,1,0,1,6,2,1,9,3,0,1,41,10,5,0,2,0,0,78,80
16,3,1,RESISTENCIA,0,1,1,12,1,0,26,1,3,7,42,110,1,6,0,0,0,203,209
17,3,1,RESISTENCIA,0,1,1,9,12,2,19,1,2,7,45,89,5,7,0,0,0,191,198
18,3,1,RESISTENCIA,0,1,1,1,8,0,21,3,6,5,34,105,4,9,0,0,0,187,196
19,3,1,RESISTENCIA,0,1,1,3,9,2,21,2,3,4,39,97,1,9,0,0,0,181,190
20,3,1,RESISTENCIA,0,1,1,2,4,1,22,2,1,4,42,113,5,10,0,0,0,196,206
21,3,1,RESISTENCIA,0,1,1,5,6,0,16,3,1,4,40,133,2,3,0,0,0,210,213
22,3,1,RESISTENCIA,0,1,1,6,5,1,21,1,1,4,40,128,1,10,0,0,0,208,218
1019,3,1,RESISTENCIA,1,1,1,1,9,0,15,2,1,5,40,111,1,3,0,0,0,185,188
1020,3,1,RESISTENCIA,1,1,1,6,14,1,14,0,4,4,28,118,2,5,0,0,0,191,196
1021,3,1,RESISTENCIA,1,1,1,4,6,0,20,2,2,4,19,121,3,8,1,0,0,181,190
1022,3,1,RESISTENCIA,1,1,1,1,6,0,16,0,0,1,39,126,3,3,0,0,0,192,195
1023,3,1,RESISTENCIA,1,1,1,0,6,0,19,1,0,1,24,118,1,6,1,0,0,170,177
1024,3,1,RESISTENCIA,1,1,1,5,6,0,18,1,1,3,44,116,4,1,0,0,0,198,199
1025,3,1,RESISTENCIA,1,1,1,10,5,1,16,2,2,1,29,131,2,7,0,0,0,199,206
1026,3,1,RESISTENCIA,1,1,1,4,4,1,26,1,1,1,30,135,4,9,0,0,0,207,216
23,4,1,RESISTENCIA,0,1,1,5,4,1,25,1,0,0,32,96,0,7,1,0,0,164,172
24,4,1,RESISTENCIA,0,1,1,6,9,1,19,1,0,3,38,98,2,8,0,0,0,177,185
25,4,1,RESISTENCIA,0,1,1,3,6,0,18,0,0,1,35,105,1,4,0,2,0,169,175
26,4,1,RESISTENCIA,0,1,1,1,7,1,18,1,2,1,38,119,2,7,0,0,0,190,197
27,4,1,RESISTENCIA,0,1,1,6,13,0,26,2,1,4,31,113,2,5,0,0,0,198,203
28,4,1,RESISTENCIA,0,1,1,5,4,1,18,2,2,2,35,117,4,8,0,0,0,190,198
29,4,1,RESISTENCIA,0,1,1,6,11,1,29,0,1,6,46,92,3,5,1,0,0,195,201
30,4,1,RESISTENCIA,0,1,1,4,6,1,11,1,2,1,15,72,0,5,0,0,0,113,118
1027,4,1,RESISTENCIA,1,1,1,5,2,2,25,1,1,9,25,106,3,7,0,1,0,179,187
1028,4,1,RESISTENCIA,1,1,1,3,9,2,22,1,1,3,34,118,1,5,0,0,0,194,199
1029,4,1,RESISTENCIA,1,1,1,0,9,1,19,2,1,2,37,105,0,7,0,0,0,176,183
1030,4,1,RESISTENCIA,1,1,1,2,6,0,13,1,0,1,30,106,1,3,2,0,0,160,165
1031,4,1,RESISTENCIA,1,1,1,5,9,1,16,2,1,2,31,99,1,4,0,0,0,167,171
1032,4,1,RESISTENCIA,1,1,1,6,4,0,11,3,1,3,41,126,4,11,0,0,0,199,210
1033,4,1,RESISTENCIA,1,1,1,3,7,0,20,2,1,4,34,97,2,5,0,0,0,170,175
1034,4,1,RESISTENCIA,1,1,1,2,10,1,13,2,2,6,30,108,3,6,0,0,0,177,183
1035,4,1,RESISTENCIA,1,1,1,6,6,0,11,3,1,3,29,113,0,4,0,1,0,172,177
1036,4,1,RESISTENCIA,1,1,1,1,8,1,9,1,0,1,16,59,1,3,0,0,0,97,100
31,5A,1,RESISTENCIA,0,1,1,2,8,2,18,4,4,5,57,78,3,12,2,0,0,181,195
32,5A,1,RESISTENCIA,0,1,1,6,8,2,19,2,1,3,74,76,0,8,1,0,0,191,200
33,5A,1,RESISTENCIA,0,1,1,9,12,1,24,4,1,3,62,74,0,10,0,0,0,190,200
