mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
437,18,1,RESISTENCIA,0,0,1,0,3,2,21,0,0,3,2,4,5,6,0,5,1,2,0,6,2,43,30,3,3,0,0,0,10,0,142,152,74,36
438,18,1,RESISTENCIA,0,0,1,4,1,3,16,2,5,2,4,5,3,13,1,6,2,1,0,1,2,36,47,0,3,0,0,0,11,0,158,169,70,50
439,18,1,RESISTENCIA,0,0,1,3,6,4,15,1,5,2,2,4,5,5,1,12,2,1,0,2,1,50,50,3,2,2,4,0,6,0,177,189,83,55
440,18,1,RESISTENCIA,0,0,1,1,5,1,10,1,4,1,3,4,2,4,0,7,0,4,0,3,0,42,56,5,4,4,9,0,2,0,158,173,66,65
441,18,1,RESISTENCIA,0,0,1,1,2,0,19,1,3,1,7,5,0,9,0,2,2,5,0,2,2,50,33,4,3,1,0,0,7,0,152,160,77,40
442,18,1,RESISTENCIA,0,0,1,2,5,2,20,0,6,5,2,3,3,14,2,4,0,7,0,4,2,25,41,3,3,3,4,0,5,0,154,166,64,47
443,18,1,RESISTENCIA,0,0,1,1,3,2,22,1,5,2,0,2,7,9,1,7,0,1,0,6,0,47,46,2,1,3,3,0,2,0,166,174,80,49
444,18,1,RESISTENCIA,0,0,1,1,12,1,11,0,0,2,4,0,0,6,6,7,2,7,0,1,1,54,60,3,2,4,6,0,107,0,181,298,84,65
445,19A,1,RESISTENCIA,0,1,1,4,6,3,17,1,0,3,3,1,0,8,3,4,2,20,0,4,1,26,41,3,5,4,3,0,25,0,156,188,69,49
446,19A,1,RESISTENCIA,0,1,1,1,6,4,23,0,3,1,3,3,3,3,4,1,4,6,2,6,4,25,42,7,3,1,1,0,23,0,155,180,61,52
